"","NUTS_ID","Kod_GUS","Nazwa","Rok","TFR","ludnosc_ogolem_ogÛ≥em","ludnosc_ogolem_wiek_rozrodczy","ludnosc_ogolem_wiek_produkcyjny","ludnosc_kobiety_ogÛ≥em","ludnosc_kobiety_wiek_rozrodczy","ludnosc_kobiety_wiek_produkcyjny","ludnosc_mezczyzni_ogÛ≥em","ludnosc_mezczyzni_wiek_rozrodczy","ludnosc_mezczyzni_wiek_produkcyjny","bezrobotni_ogÛ≥em","bezrobotni_mÍøczyüni","bezrobotni_kobiety","wynagrodzenia","cena_mieszkan_metr_mediana","cena_mieszkan_metr_srednia","mieszkania_oddane","mieszkania_przecietna_powierzchnia","mieszkania_izby","mieszkania_nowe","rozwody","rozwody_na_10_tys","separacje","separacje_na_10_tys","swiadczenia_500_plus","swiadczenia_spoleczne","wspolczynnik_feminizacji","zlobki","malzenstwa_zawarte","ludnosc_na_1km2","gestosc_zaludnienia_pow_zabudowana","zmiana_liczby_ludnosci","ludnosc_tys","ludnosc_tys_mezczyzni","ludnosc_tys_kobiety","praca_ogolem_ogÛ≥em","praca_ogolem_mÍøczyüni","praca_ogolem_kobiety","praca_rolnictwo_ogÛ≥em","praca_rolnictwo_mÍøczyüni","praca_rolnictwo_kobiety","praca_przemysl_na_10_tys_ogÛ≥em","praca_przemysl_na_10_tys_mÍøczyüni","praca_przemysl_na_10_tys_kobiety","praca_handel_ogÛ≥em","praca_handel_mÍøczyüni","praca_handel_kobiety","praca_finanse_ogÛ≥em","praca_finanse_mÍøczyüni","praca_finanse_kobiety","praca_pozostale_na_10_tys_ogÛ≥em","praca_pozostale_na_10_tys_mÍøczyüni","praca_pozostale_na_10_tys_kobiety","zgony_kobiety","zgony_mezczyzni","zgony_ogolem","dochody_ogolem","dochody_wlasne","dochody_podatki","dochody_podatki_osoby_fizyczne","dochody_podatki_osoby_prawne","dochody_podatki_pozostale","swiadczenia_ogolem"
"660","PL912","071412900000","PODREGION WARSZAWSKI WSCHODNI",2021,1.558,684682,329250,406418,352985,164162,203116,331697,165088,203302,12959,6638,6321,5433.38,6102,5755,10.8,107.3,4.2,6.4,958,14,5,0.07,876220795,156797,106,168,4.4,219,NA,6.9,684.68,331.7,352.99,124565,59763,64802,10228,5945,4283,39756,26183,13573,30612,16757,13855,3365,1113,2252,40604,9765,30839,3756,4131,7887,6686.72,3191.84,NA,1589.34,51.13,761.04,876377592
"661","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2012,1.353,601206,296052,381057,313087,149460,193900,288119,146592,187157,20442,10717,9725,4063.55,5053,4916,8.6,127.7,4.7,5.1,1038,17.4,28,0.47,NA,70548,109,NA,4.6,244,2370,11.3,601.21,288.12,313.09,155310,80324,74986,15732,8603,7129,43560,28138,15422,51624,30277,21347,5267,1709,3558,39127,11597,27530,2529,2735,5264,3660,2564.36,NA,1216.23,69.7,780.39,NA
"662","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2013,1.314,607890,297704,380809,316468,150173,193595,291422,147531,187214,21420,11252,10168,4218.58,5002,4781,6.1,143.5,5.1,4.4,1303,21.5,27,0.45,NA,70816,109,NA,4.1,247,2305,11.1,607.89,291.42,316.47,161009,83551,77458,15601,8546,7055,45213,29482,15731,54454,32018,22436,5205,1771,3434,40536,11734,28802,2459,2681,5140,3850.23,2778.56,NA,1243.53,82.11,816.59,NA
"663","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2014,1.414,613855,299157,380179,319467,150983,193284,294388,148174,186895,19062,9947,9115,4379.49,4902,4710,6.8,126.1,4.7,4.2,1220,20,18,0.29,NA,70732,109,79,4.2,249,2273,9.8,613.86,294.39,319.47,166394,85659,80735,15716,8581,7135,46242,29791,16451,56613,32974,23639,5423,1895,3528,42400,12418,29982,2584,2792,5376,4121.77,3014.8,NA,1352.8,79.43,833.26,NA
"664","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2015,1.477,620206,300832,379800,322676,151858,192962,297530,148974,186838,16553,8607,7946,4470.39,4636,4663,6.8,125.5,4.6,4.4,1312,21.3,28,0.45,NA,82321,108,93,4.4,252,NA,10.4,620.21,297.53,322.68,169725,87105,82620,15770,8621,7149,45962,29504,16458,57576,33571,24005,5031,1792,3239,45386,13617,31769,2736,2792,5528,4321.98,3023.86,NA,1444.26,83.87,861.9,NA
"665","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2016,1.571,625891,301996,379007,325621,152477,192459,300270,149519,186548,14122,7132,6990,4613.34,4787,4677,6.7,125.4,4.6,4.3,1037,16.6,18,0.29,NA,106010,108,98,4.6,254,NA,9.2,625.89,300.27,325.62,175564,90631,84933,15734,8631,7103,47404,30633,16771,60933,35658,25275,5134,1857,3277,46359,13852,32507,2710,2883,5593,4996.25,3210.43,NA,1554.25,90.78,939.56,NA
"666","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2017,1.634,632609,303216,378595,329113,153167,192205,303496,150049,186390,11187,5544,5643,4770.87,5136,4934,7.5,118.4,4.5,4.4,1109,17.6,16,0.25,400873279,115357,108,105,4.7,257,NA,10.7,632.61,303.5,329.11,185301,96640,88661,15824,8634,7190,51716,33312,18404,64473,38328,26145,5000,1814,3186,48288,14552,33736,2854,3091,5945,5445.99,3444.11,NA,1674.46,87.37,998.64,400988636
"667","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2018,1.629,639580,305049,379339,332741,154110,192447,306839,150939,186892,10215,5025,5190,5229.27,5175,4945,9,107.7,4.2,4.4,1208,19,13,0.2,394593849,122749,108,131,4.7,260,NA,11,639.58,306.84,332.74,189811,99226,90585,15665,8586,7079,53017,34177,18840,67548,40093,27455,5085,1941,3144,48496,14429,34067,3134,3148,6282,5999.92,3675.86,NA,1901.58,98.15,1046.89,394716598
"668","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2019,1.617,648147,307923,382025,337243,155742,193815,310904,152181,188210,8628,4360,4268,5610.69,5198,5025,9.9,113.2,4.4,5.4,1182,18.4,13,0.2,619974042,129526,108,141,4.5,263,NA,13.4,648.15,310.9,337.24,196092,102119,93973,15687,8550,7137,54796,35697,19099,69329,40668,28661,5026,1850,3176,51254,15354,35900,2959,3211,6170,6763.44,4060.2,NA,2066.51,100.86,1121.27,620103568
"669","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2020,1.487,694725,330501,409238,359878,166786,206779,334847,163715,202459,11471,5879,5592,5799.13,5593,5380,11.5,110.4,4.3,6,996,14.4,7,0.1,858973486,134193,107,155,3.5,282,NA,71.9,694.73,334.85,359.88,190260,99441,90819,8879,4950,3929,55961,36392,19569,69966,41690,28276,4763,1707,3056,50691,14702,35989,3539,3763,7302,6854.17,4018.62,NA,1892.48,123.97,1083.89,859107679
